epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,2470.36,0.85112,0.88706,1.04939,0.9436,0.87469,0.92149,0.62678,1.1845,1.68856,1.13766,0.0008357,0.0008357,0.0008357
22,2495.31,0.86194,0.89084,1.03941,0.94097,0.97274,0.995,0.58208,1.30219,1.4949,1.24236,0.000847259,0.000847259,0.000847259
23,2514.86,0.96345,0.87415,1.07755,0.93327,1,0.995,0.58595,1.34542,1.5172,1.28479,0.000856178,0.000856178,0.000856178
24,2533.99,0.84775,0.83798,1.02949,0.97183,1,0.995,0.69636,1.00851,1.4521,1.07914,0.000862456,0.000862456,0.000862456
25,2554.54,0.85816,0.86231,1.04058,0.96055,1,0.995,0.72511,0.98597,1.31065,1.04623,0.000866093,0.000866093,0.000866093
26,2574.18,0.84971,0.85069,1.03004,0.95121,1,0.995,0.71531,1.07758,1.17259,1.11255,0.000841835,0.000841835,0.000841835
27,2593.79,0.81852,0.81511,1.00984,0.93727,1,0.995,0.62147,1.2848,1.16265,1.24591,0.000808828,0.000808828,0.000808828
28,2613.29,0.93753,0.85135,1.07864,0.94166,1,0.995,0.65553,1.16759,1.08592,1.20966,0.000775822,0.000775822,0.000775822
29,2632.18,0.85535,0.88015,1.04812,0.95028,1,0.995,0.7333,0.90342,0.99692,1.05007,0.000742815,0.000742815,0.000742815
30,2651.65,0.81048,0.78802,1.0022,0.94902,1,0.995,0.73815,0.88796,0.98886,1.01831,0.000709809,0.000709809,0.000709809
31,2671.11,0.72476,0.7531,0.9816,0.94925,1,0.995,0.7357,0.96939,0.98945,1.07933,0.000676802,0.000676802,0.000676802
32,2690.5,0.72826,0.74336,0.97592,0.95994,1,0.995,0.73938,0.98668,0.91835,1.08206,0.000643795,0.000643795,0.000643795
33,2709.71,0.74441,0.72696,0.98736,0.9787,1,0.995,0.70312,1.04446,0.81091,1.07006,0.000610789,0.000610789,0.000610789
34,2729.49,0.72059,0.71107,0.96649,0.98524,1,0.995,0.70227,1.16313,0.79993,1.1025,0.000577782,0.000577782,0.000577782
35,2744.72,0.71899,0.72504,0.97985,0.98302,1,0.995,0.71409,1.12722,0.79321,1.06995,0.000544776,0.000544776,0.000544776
36,2760.11,0.7102,0.71244,0.95452,0.97672,1,0.995,0.73421,1.03594,0.7679,1.02967,0.000511769,0.000511769,0.000511769
37,2775.49,0.70538,0.71783,0.96667,0.97004,1,0.995,0.7406,1.04351,0.77235,1.03659,0.000478762,0.000478762,0.000478762
38,2790.42,0.71046,0.66722,0.93968,0.96842,1,0.995,0.7396,1.04132,0.78995,1.05111,0.000445756,0.000445756,0.000445756
39,2805.58,0.67538,0.67476,0.95489,0.97335,1,0.995,0.72291,1.07572,0.78134,1.07773,0.000412749,0.000412749,0.000412749
40,2820.76,0.65546,0.70179,0.98461,0.97973,1,0.995,0.70269,1.19518,0.79283,1.1428,0.000379743,0.000379743,0.000379743
41,2835.73,0.59099,0.84248,0.89808,0.97937,1,0.995,0.69056,1.26242,0.80887,1.19607,0.000346736,0.000346736,0.000346736
42,2850.9,0.62991,0.82522,0.92445,0.9764,1,0.995,0.69267,1.20379,0.82443,1.16854,0.000313729,0.000313729,0.000313729
43,2866.04,0.58839,0.78993,0.88858,0.97398,1,0.995,0.72351,1.08344,0.85113,1.11968,0.000280723,0.000280723,0.000280723
44,2880.83,0.53661,0.78055,0.8744,0.97733,1,0.995,0.71627,1.01618,0.82259,1.08281,0.000247716,0.000247716,0.000247716
45,2895.83,0.57837,0.82713,0.88193,0.98279,1,0.995,0.72613,0.98814,0.79397,1.06817,0.00021471,0.00021471,0.00021471
46,2910.95,0.59082,0.79122,0.88817,0.9868,1,0.995,0.72473,0.98358,0.76464,1.06522,0.000181703,0.000181703,0.000181703
47,2925.89,0.56476,0.76969,0.8821,0.98919,1,0.995,0.72473,0.97775,0.73226,1.05695,0.000148696,0.000148696,0.000148696
48,2947.72,0.53278,0.76386,0.86885,0.99031,1,0.995,0.74006,0.96125,0.70416,1.04673,0.00011569,0.00011569,0.00011569
49,2963.15,0.5223,0.73772,0.88744,0.99165,1,0.995,0.74047,0.94306,0.69099,1.041,8.26832e-05,8.26832e-05,8.26832e-05
50,2978.5,0.49507,0.73447,0.85889,0.99153,1,0.995,0.75222,0.92473,0.6823,1.03656,4.96766e-05,4.96766e-05,4.96766e-05
