epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5978,1.79582,3.59549,1.91241,0.00698,0.91667,0.03815,0.01202,1.33473,3.60381,1.58432,5.001e-05,5.001e-05,5.001e-05
2,45.9802,1.49045,3.33534,1.60507,0.00734,1,0.27119,0.07809,0.98468,3.42862,1.27617,0.00011438,0.00011438,0.00011438
3,69.087,1.31074,2.81785,1.44604,0.00713,1,0.96833,0.56656,0.84237,3.10084,1.02461,0.000176109,0.000176109,0.000176109
4,95.684,1.19594,1.83869,1.2963,0.00693,1,0.995,0.60772,0.99259,2.83633,1.0277,0.000235197,0.000235197,0.000235197
5,118.361,1.1279,1.46628,1.24619,0.01306,1,0.995,0.5779,1.0317,2.78565,1.07384,0.000291645,0.000291645,0.000291645
6,139.481,1.12619,1.458,1.2412,0.99259,0.75386,0.995,0.53215,1.04669,2.85212,1.16023,0.000345452,0.000345452,0.000345452
7,160.875,1.16117,1.37813,1.21269,1,0.23138,0.995,0.54126,1.13747,2.88356,1.14184,0.000396619,0.000396619,0.000396619
8,180.674,1.10955,1.26979,1.15565,1,0.50151,0.995,0.58458,1.23092,2.71072,1.08392,0.000445146,0.000445146,0.000445146
9,200.827,1.05964,1.14059,1.12326,1,0.56584,0.995,0.64603,1.13786,2.55014,1.05859,0.000491032,0.000491032,0.000491032
10,221.367,1.11563,1.15759,1.1627,0.98584,0.71783,0.995,0.53257,1.2459,2.54055,1.17034,0.000534277,0.000534277,0.000534277
11,239.911,1.05677,1.15794,1.13748,0.90814,0.68166,0.90172,0.38689,1.52601,2.61197,1.43965,0.000574882,0.000574882,0.000574882
12,258.627,1.0819,1.14947,1.1499,1,0.66028,0.995,0.62177,1.29164,2.39623,1.23079,0.000612846,0.000612846,0.000612846
13,277.918,0.98085,1.03214,1.08122,0.9983,0.72335,0.995,0.56244,1.45283,2.22407,1.3701,0.00064817,0.00064817,0.00064817
14,295.994,1.00298,0.98319,1.11557,0.94977,0.73798,0.995,0.38762,1.985,2.16276,1.8703,0.000680853,0.000680853,0.000680853
15,528.447,1.06766,1.06108,1.12929,0.9326,0.74763,0.995,0.46037,1.73478,1.89079,1.64999,0.000710895,0.000710895,0.000710895
16,561.444,1.17131,1.11696,1.25376,0.93226,0.81277,0.995,0.48138,1.70965,1.77533,1.56953,0.000738298,0.000738298,0.000738298
17,2192.55,1.03022,1.05794,1.12757,0.9349,0.86874,0.995,0.4311,1.83683,1.69295,1.77362,0.000763059,0.000763059,0.000763059
18,2280.05,0.92037,0.88309,1.03729,0.93634,1,0.995,0.52521,1.58545,1.66782,1.39623,0.00078518,0.00078518,0.00078518
19,2347.39,0.93593,1.02342,1.05191,0.93767,0.9257,0.995,0.60731,1.41542,1.66303,1.17758,0.000804661,0.000804661,0.000804661
20,2409.75,0.96345,0.95965,1.09789,0.94102,0.86459,0.995,0.69316,1.13722,1.66724,1.05108,0.000821501,0.000821501,0.000821501
